ts,pv_kw,grid_kw,load_kw,battery_kw,battery_soc,cloud_cover,irradiance,temperature,wind_speed,precipitation,pv_daily_kwh,pv_month_kwh,pv_year_kwh,pv_life_kwh,inv1_temp,inv2_temp,inv3_temp,inv1_pv_kw,inv2_pv_kw,inv3_pv_kw,bat_dischd,co2_saved,coal_saved,trees,inv1_pv1_v,inv1_pv1_a,inv1_pv2_v,inv1_pv2_a,inv1_pv3_v,inv1_pv3_a,inv1_pv4_v,inv1_pv4_a,inv2_pv1_v,inv2_pv1_a,inv2_pv2_v,inv2_pv2_a,inv2_pv3_v,inv2_pv3_a,inv2_pv4_v,inv2_pv4_a,inv3_pv1_v,inv3_pv1_a,inv3_pv2_v,inv3_pv2_a,inv3_pv3_v,inv3_pv3_a,inv3_pv4_v,inv3_pv4_a,phase_a_v,phase_a_a,phase_b_v,phase_b_a,phase_c_v,phase_c_a,power_factor,grid_freq
2026-07-14T11:05:01.341076+00:00,32.1,10.89,21.21,0.0,100.0,1.0,580.0,21.4,11.8,0.0,132.05,2352.04,48881.67,55722.6,0.0,0.0,0.0,0.0,8.69,13.52,0.0,26.47,22.29,36.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.2,7.09,524.9,7.16,324.0,7.18,0.0,0.0,516.0,6.67,517.5,6.71,520.8,7.06,520.7,7.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T11:10:01.188472+00:00,31.8,5.68,26.12,0.0,100.0,1.0,580.0,21.4,11.8,0.0,134.73,2354.72,48884.35,55725.28,0.0,0.0,0.0,0.0,8.69,13.52,0.0,26.47,22.29,36.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.2,6.99,490.1,6.86,337.9,7.11,0.0,0.0,515.2,6.59,517.0,6.63,521.7,6.98,522.2,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T11:20:01.872551+00:00,31.5,8.44,23.06,0.0,100.0,1.0,580.0,21.3,12.2,0.0,140.05,2360.04,48889.67,55730.6,0.0,0.0,0.0,0.0,8.54,13.3,0.0,26.47,22.29,36.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,6.89,435.2,7.06,344.1,7.03,0.0,0.0,518.2,6.48,519.5,6.53,522.7,6.91,523.5,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T11:35:01.261771+00:00,29.3,11.42,17.88,0.0,100.0,1.0,580.0,21.2,12.4,0.0,147.85,2367.84,48897.47,55738.4,0.0,0.0,0.0,0.0,7.97,12.99,0.0,26.48,22.3,36.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.5,6.68,440.2,6.69,351.7,6.41,0.0,0.0,521.3,6.29,522.8,6.32,524.2,6.73,523.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T11:40:01.639026+00:00,28.9,10.19,18.71,0.0,100.0,1.0,580.0,21.2,12.4,0.0,150.33,2370.32,48899.95,55740.88,0.0,0.0,0.0,0.0,7.32,12.82,0.0,26.48,22.3,36.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,6.65,451.7,6.11,362.1,5.31,0.0,0.0,520.6,6.25,523.9,6.27,525.0,6.68,524.5,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T11:50:02.122731+00:00,27.6,11.51,16.09,0.0,100.0,0.0,580.0,21.0,12.0,0.0,155.13,2375.12,48904.75,55745.68,0.0,0.0,0.0,0.0,7.17,12.38,0.0,26.48,22.3,36.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.5,6.39,419.4,6.59,376.9,4.28,0.0,0.0,522.6,6.01,524.1,6.05,522.2,6.46,524.1,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T12:00:01.704590+00:00,26.7,8.59,18.11,0.0,100.0,0.0,521.0,21.0,11.6,0.0,159.74,2379.73,48909.36,55750.29,0.0,0.0,0.0,0.0,0.0,11.67,0.0,26.48,22.3,36.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.5,5.79,522.6,5.82,519.8,6.21,521.8,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T12:15:01.579774+00:00,24.2,2.2,22.0,0.0,100.0,1.0,521.0,21.4,13.2,0.0,166.27,2386.26,48915.89,55756.82,0.0,0.0,0.0,0.0,0.0,10.84,0.0,26.48,22.3,36.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.7,5.32,523.7,5.38,517.9,5.76,527.9,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T12:20:01.399794+00:00,23.2,4.66,18.54,0.0,100.0,1.0,521.0,21.4,13.2,0.0,168.33,2388.32,48917.95,55758.88,0.0,0.0,0.0,0.0,5.41,10.49,0.0,26.49,22.3,36.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.4,5.66,393.1,5.64,416.9,3.5,0.0,0.0,525.6,5.26,525.2,5.32,516.0,5.69,529.5,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T12:25:01.823420+00:00,22.6,4.51,18.09,0.0,100.0,1.0,521.0,21.4,13.2,0.0,170.29,2390.28,48919.91,55760.84,0.0,0.0,0.0,0.0,5.41,10.49,0.0,26.49,22.3,36.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.7,5.5,320.0,5.19,419.1,3.48,0.0,0.0,523.8,5.13,525.2,5.18,508.2,5.58,529.1,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T12:35:01.438954+00:00,20.8,-0.3,21.1,0.0,100.0,1.0,521.0,21.4,12.2,0.0,174.03,2394.02,48923.65,55764.58,0.0,0.0,0.0,0.0,0.0,9.45,0.0,26.49,22.31,36.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.7,4.82,524.6,4.88,495.7,5.26,530.8,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T12:40:01.577874+00:00,20.2,-5.16,25.36,0.0,100.0,1.0,521.0,21.4,12.2,0.0,175.79,2395.78,48925.41,55766.34,0.0,0.0,0.0,0.0,4.83,9.45,0.0,26.49,22.31,36.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.7,5.02,283.6,4.39,387.3,3.74,0.0,0.0,523.1,4.67,524.5,4.72,489.9,5.1,530.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T12:45:01.208391+00:00,19.7,1.9,17.8,0.0,100.0,0.0,521.0,21.3,11.3,0.0,177.52,2397.51,48927.14,55768.07,0.0,0.0,0.0,0.0,0.0,8.78,0.0,26.49,22.31,36.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.4,4.51,524.9,4.55,482.7,4.96,530.5,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T12:50:02.038564+00:00,18.5,0.11,18.39,0.0,100.0,0.0,521.0,21.3,11.3,0.0,179.19,2399.18,48928.81,55769.74,0.0,0.0,0.0,0.0,4.84,8.78,0.0,26.49,22.31,36.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.5,4.7,264.2,4.49,346.8,4.77,0.0,0.0,523.9,4.34,523.9,4.41,477.8,4.8,533.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T13:10:01.864797+00:00,14.2,-6.03,20.23,0.0,100.0,0.0,406.0,21.2,10.7,0.0,184.98,2404.97,48934.6,55775.53,0.0,0.0,0.0,0.0,3.4,6.73,0.0,26.49,22.31,36.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.4,3.8,230.0,2.7,379.6,3.81,0.0,0.0,511.6,3.46,525.8,3.6,456.5,3.93,534.2,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T13:20:01.535737+00:00,12.4,-3.05,15.45,0.0,100.0,0.0,406.0,21.1,10.5,0.0,187.31,2407.3,48936.93,55777.86,0.0,0.0,0.0,0.0,3.09,6.06,0.0,26.49,22.31,36.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.9,3.42,199.4,2.3,391.9,3.53,0.0,0.0,473.6,3.1,524.1,3.2,449.6,3.61,535.5,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T13:30:01.542659+00:00,10.5,-11.08,21.58,0.0,100.0,0.0,406.0,20.9,10.7,0.0,189.4,2409.39,48939.02,55779.95,0.0,0.0,0.0,0.0,0.0,4.8,0.0,26.5,22.31,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.3,2.88,527.1,2.86,448.5,3.33,535.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
